"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_NOTIFY_APPLY_HEALTH","Applying new Health value on","Applying new Health value on","Aplikuji novou hodnotu Health na","Neue Health-Werte anwenden auf","Применение нового значения Health к","Zastosowanie nowej wartości Health dla","Új Health érték alkalmazása ezen:","Applicazione del nuovo valore Health su","Aplicando nuevo valor de Health a","Application de la nouvelle valeur Health à","正在套用新的 Health 數值至","新しい Health 値を適用:","Aplicando novo valor de Health para","正在应用新的 健康 数值至",
"VSTR_NOTIFY_APPLY_BLOOD","Applying new Blood value on","Applying new Blood value on","Aplikuji novou hodnotu Blood na","Neue Blood-Werte anwenden auf","Применение нового значения Blood к","Zastosowanie nowej wartości Blood dla","Új Blood érték alkalmazása ezen:","Applicazione del nuovo valore Blood su","Aplicando nuevo valor de Blood a","Application de la nouvelle valeur Blood à","正在套用新的 Blood 數值至","新しい Blood 値を適用:","Aplicando novo valor de Blood para","正在应用新的 血液 数值至",
"VSTR_NOTIFY_APPLY_SHOCK","Applying new Shock value on","Applying new Shock value on","Aplikuji novou hodnotu Shock na","Neue Shock-Werte anwenden auf","Применение нового значения Shock к","Zastosowanie nowej wartości Shock dla","Új Shock érték alkalmazása ezen:","Applicazione del nuovo valore Shock su","Aplicando nuevo valor de Shock a","Application de la nouvelle valeur Shock à","正在套用新的 Shock 數值至","新しい Shock 値を適用:","Aplicando novo valor de Shock para","正在应用新的 休克 数值至",
"VSTR_NOTIFY_APPLY_WATER","Applying new Water value on","Applying new Water value on","Aplikuji novou hodnotu Water na","Neue Water-Werte anwenden auf","Применение нового значения Water к","Zastosowanie nowej wartości Water dla","Új Water érték alkalmazása ezen:","Applicazione del nuovo valore Water su","Aplicando nuevo valor de Water a","Application de la nouvelle valeur Water à","正在套用新的 Water 數值至","新しい Water 値を適用:","Aplicando novo valor de Water para","正在应用新的 水分 数值至",
"VSTR_NOTIFY_APPLY_ENERGY","Applying new Energy/Food value on","Applying new Energy/Food value on","Aplikuji novou hodnotu Energy/Food na","Neue Energy/Food-Werte anwenden auf","Применение нового значения Energy/Food к","Zastosowanie nowej wartości Energy/Food dla","Új Energy/Food érték alkalmazása ezen:","Applicazione del nuovo valore Energy/Food su","Aplicando nuevo valor de Energy/Food a","Application de la nouvelle valeur Energy/Food à","正在套用新的 Energy/Food 數值至","新しい Energy/Food 値を適用:","Aplicando novo valor de Energy/Food para","正在应用新的 能量/食物 数值至",
"VSTR_NOTIFY_KICK_MESSAGE_PLAYER","Kicked By Server Admin!","Kicked By Server Admin!","Vyhozen správcem serveru!","Vom Server-Admin gekickt!","Кикнут администратором сервера!","Wyrzucony przez administratora serwera!","Szerveradmin rúgta ki!","Espulso dall'amministratore del server!","¡Expulsado por el administrador del servidor!","Exclu par l'administrateur du serveur!","已被伺服器管理員踢出!","サーバー管理者によりキックされました!","Expulso pelo administrador do servidor!","您已被服务器管理踢出游戏！",
"VSTR_NOTIFY_SPECTATE_REQ","Requesting to spectate selected player","Requesting to spectate selected player","Požadavek na spectate vybraného hráče","Anfrage, den ausgewählten Spieler zu beobachten (spectate)","Запрос на наблюдение за выбранным игроком","Żądanie obserwacji wybranego gracza","Kérés a kiválasztott játékos megfigyelésére (spectate)","Richiesta di spettare il giocatore selezionato","Solicitud para espectar al jugador seleccionado","Demande pour spectate le joueur sélectionné","請求觀戰所選玩家","選択したプレイヤーを SPECTATE 要求","Solicitação para spectate o jogador selecionado","查看所选择的玩家视角",
"VSTR_TOOLTIP_TITLE_RESTARTSERVER","Restart Server","Restart Server","Restartovat server","Server neu starten","Перезапустить сервер","Zrestartuj serwer","Szerver újraindítása","Riavvia server","Reiniciar servidor","Redémarrer le serveur","重新啟動伺服器","サーバーを再起動","Reiniciar servidor","重启服务器",
"VSTR_TOOLTIP_RESTARTSERVER","Please input time (seconds) until restart. Players will be alerted.","Please input time (seconds) until restart. Players will be alerted.","Zadejte čas (v sekundách) do restartu. Hráči budou upozorněni.","Bitte gib die Zeit (Sekunden) bis zum Neustart ein. Spieler werden benachrichtigt.","Введите время (секунды) до перезапуска. Игроки будут предупреждены.","Wprowadź czas (sekundy) do restartu. Gracze zostaną powiadomieni.","Add meg az időt (másodpercben) az újraindításig. A játékosok értesítést kapnak.","Inserisci il tempo (secondi) fino al riavvio. I giocatori verranno avvisati.","Introduce el tiempo (segundos) hasta el reinicio. Los jugadores serán notificados.","Saisissez le temps (secondes) avant le redémarrage. Les joueurs seront avertis.","輸入距離重新啟動的時間（秒）。將通知玩家。","再起動までの時間（秒）を入力してください。プレイヤーに通知されます。","Digite o tempo (segundos) até o reinício. Os jogadores serão notificados.","请输入游戏重启前的剩余时间（秒），玩家将会收到提醒。",
"VSTR_TOOLTIP_TITLE_LOCKSERVER","Lock Server","Lock Server","Zamknout server","Server sperren","Заблокировать сервер","Zablokuj serwer","Szerver zárolása","Blocca server","Bloquear servidor","Verrouiller le serveur","鎖定伺服器","サーバーをロック","Bloquear servidor","确定要锁定服务器并阻止新的客户端连接?",
"VSTR_TOOLTIP_LOCKSERVER","Are you sure you wish to lock the server and prevent new clients from connecting?","Are you sure you wish to lock the server and prevent new clients from connecting?","Opravdu chcete zamknout server a zabránit novým klientům v připojení?","Möchtest du den Server wirklich sperren und neue Verbindungen verhindern?","Вы уверены, что хотите заблокировать сервер и запретить подключение новым клиентам?","Czy na pewno chcesz zablokować serwer i uniemożliwić dołączanie nowym klientom?","Biztosan zárolod a szervert és megakadályozod az új kliensek csatlakozását?","Sei sicuro di voler bloccare il server e impedire nuove connessioni?","¿Seguro que quieres bloquear el servidor e impedir nuevas conexiones?","Êtes-vous sûr de vouloir verrouiller le serveur et empêcher les nouvelles connexions?","確定要鎖定伺服器並阻止新客戶端連線?","サーバーをロックして新規接続を拒否しますか?","Tem certeza de que deseja bloquear o servidor e impedir novas conexões?","您确定要锁定服务器并阻止玩家连接游戏吗？",
"VSTR_TOOLTIP_TITLE_KICKALLPLAYERS","Kick All Players","Kick All Players","Vyhodit všechny hráče","Alle Spieler kicken","Кикнуть всех игроков","Wyrzuć wszystkich graczy","Minden játékos kirúgása","Espelli tutti i giocatori","Expulsar a todos los jugadores","Expulser tous les joueurs","踢出所有玩家","全プレイヤーをキック","Expulsar todos os jogadores","踢出所有玩家",
"VSTR_TOOLTIP_KICKALLPLAYERS","Are you sure you wish to kick all players from server?","Are you sure you wish to kick all players from server?","Opravdu chcete vyhodit všechny hráče ze serveru?","Möchtest du wirklich alle Spieler vom Server kicken?","Вы уверены, что хотите кикнуть всех игроков с сервера?","Czy na pewno chcesz wyrzucić wszystkich graczy z serwera?","Biztosan kirúgod az összes játékost a szerverről?","Sei sicuro di voler espellere tutti i giocatori dal server?","¿Seguro que quieres expulsar a todos los jugadores del servidor?","Êtes-vous sûr de vouloir expulser tous les joueurs du serveur?","確定要將所有玩家自伺服器踢出?","本当に全プレイヤーをサーバーからキックしますか?","Tem certeza de que deseja expulsar todos os jogadores do servidor?","确定要将所有玩家从服务器踢出?",
"VSTR_NOTIFY_KICKINGPLAYERS","Kicking all players...","Kicking all players...","Vyhazuji všechny hráče...","Kicke alle Spieler...","Кикаю всех игроков...","Wyrzucanie wszystkich graczy...","Minden játékos kirúgása...","Espulsione di tutti i giocatori...","Expulsando a todos los jugadores...","Expulsion de tous les joueurs...","正在踢出所有玩家...","全プレイヤーをキック中...","Expulsando todos os jogadores...","正在踢出所有玩家...",
"VSTR_TOOLTIP_TP_MENU_INFO","Hold Left Ctrl and 2x Click on map to create a custom position!<br/>Double click on map to teleport your self or selected players!","Hold Left Ctrl and 2x Click on map to create a custom position!<br/>Double click on map to teleport your self or selected players!","Podržte levý Ctrl a 2× klikněte na mapu pro vytvoření vlastní pozice!<br/>Dvojklikem na mapu teleportujete sebe nebo vybrané hráče!","Halte linke Strg und doppelklicke auf die Karte, um eine benutzerdefinierte Position zu erstellen!<br/>Doppelklick auf die Karte, um dich selbst oder ausgewählte Spieler zu teleportieren!","Удерживайте левый Ctrl и дважды кликните на карте, чтобы создать пользовательскую позицию!<br/>Двойной клик по карте — телепорт вас или выбранных игроков!","Przytrzymaj lewy Ctrl i kliknij 2× na mapie, aby utworzyć własną pozycję!<br/>Podwójne kliknięcie na mapie teleportuje ciebie lub wybranych graczy!","Tartsd lenyomva a bal Ctrl-t és kattints 2× a térképen egy egyedi pozíció létrehozásához!<br/>Dupla kattintással teleportálod magad vagy a kiválasztott játékosokat!","Tieni premuto Ctrl sinistro e fai doppio clic sulla mappa per creare una posizione personalizzata!<br/>Doppio clic sulla mappa per teletrasportare te stesso o i giocatori selezionati!","¡Mantén Ctrl izquierdo y haz doble clic en el mapa para crear una posición personalizada!<br/>¡Doble clic en el mapa para teletransportarte a ti o a los jugadores seleccionados!","Maintenez Ctrl gauche et double-cliquez sur la carte pour créer une position personnalisée! Sinon Double-cliquez sur la carte pour vous téléporter ou téléporter les joueurs sélectionnés!","按住左 Ctrl 並在地圖上連按兩下以建立自訂位置!<br/>在地圖上雙擊可將您或所選玩家傳送!","左Ctrl を押しながらマップをダブルクリックするとカスタム位置を作成!<br/>マップのダブルクリックで自分または選択したプレイヤーをテレポート!","Mantenha Ctrl esquerdo e dê duplo clique no mapa para criar uma posição personalizada!<br/>Duplo clique no mapa para teletransportar você ou os jogadores selecionados!","按住左Ctrl键并双击地图即可创建自定义位置！<br/>双击地图即可传送自己或选定的玩家！",
"VSTR_TOOLTIP_TITLE_DEL_PRESET_TP","Delete Preset?","Delete Preset?","Smazat preset?","Preset löschen?","Удалить пресет?","Usunąć preset?","Preset törlése?","Eliminare preset?","¿Eliminar preset?","Supprimer le preset?","刪除預設?","プリセットを削除しますか?","Excluir preset?","删除预设？",
"VSTR_TOOLTIP_DEL_PRESET_TP","Are you sure you want to remove selected saved teleport position(s)?","Are you sure you want to remove selected saved teleport position(s)?","Opravdu chcete odstranit vybrané uložené teleportovací pozice?","Möchtest du die ausgewählten gespeicherten Teleport-Positionen wirklich entfernen?","Вы уверены, что хотите удалить выбранные сохранённые позиции телепорта?","Czy na pewno chcesz usunąć wybrane zapisane pozycje teleportu?","Biztosan törlöd a kiválasztott mentett teleport pozíció(ka)t?","Sei sicuro di voler rimuovere le posizioni di teletrasporto salvate selezionate?","¿Seguro que quieres eliminar las posiciones de teletransporte guardadas seleccionadas?","Êtes-vous sûr de vouloir supprimer les positions de téléportation enregistrées sélectionnées?","確定要刪除所選已儲存的傳送位置?","保存済みテレポート位置（選択分）を本当に削除しますか?","Tem certeza de que deseja remover as posições de teleporte salvas selecionadas?","您确定要删除选定的已保存传送位置吗？",
"VSTR_NOTIFY_ERR_TP_PLAYER","Error Teleporting...No Players selected!","Error Teleporting...No Players selected!","Chyba teleportace... Nejsou vybráni hráči!","Fehler beim Teleportieren... Keine Spieler ausgewählt!","Ошибка телепортации... Игроки не выбраны!","Błąd teleportacji... Nie wybrano graczy!","Hiba teleportáláskor... Nincsenek kiválasztott játékosok!","Errore di teletrasporto... Nessun giocatore selezionato!","Error de teletransporte... ¡No se seleccionaron jugadores!","Erreur de téléportation... Aucun joueur sélectionné!","傳送錯誤... 未選取玩家!","テレポートエラー… プレイヤーが選択されていません!","Erro de teleporte... Nenhum jogador selecionado!","传送失败，未选择任何玩家！",
"VSTR_NOTIFY_ERR_TP_PLAYERS_NOTSELECT","Error Teleporting...No Players selected","Error Teleporting...No Players selected","Chyba teleportace... Nejsou vybráni hráči","Fehler beim Teleportieren... Keine Spieler ausgewählt","Ошибка телепортации... Игроки не выбраны","Błąd teleportacji... Nie wybrano graczy","Hiba teleportáláskor... Nincsenek kiválasztott játékosok","Errore di teletrasporto... Nessun giocatore selezionato","Error de teletransporte... No se seleccionaron jugadores","Erreur de téléportation... Aucun joueur sélectionné","傳送錯誤，未選取玩家","テレポートエラー… プレイヤーが選択されていません","Erro de teleporte... Nenhum jogador selecionado","传送失败，未选择任何玩家",
"VSTR_NOTIFY_ERR_INVALIDPOS","Invalid Position property!","Invalid Position property!","Neplatná vlastnost pozice!","Ungültige Positions-Eigenschaft!","Недопустимое свойство позиции!","Nieprawidłowa właściwość pozycji!","Érvénytelen pozíció attribútum!","Proprietà posizione non valida!","¡Propiedad de posición no válida!","Propriété de position invalide!","無效的位置屬性!","位置プロパティが無効です!","Propriedade de posição inválida!","无效的位置属性！",
"VSTR_NOTIFY_ERR_TP_NAME_UNIQUE","You must give the position a unique name!","You must give the position a unique name!","Musíte pozici zadat jedinečný název!","Du musst der Position einen eindeutigen Namen geben!","Необходимо задать уникальное имя позиции!","Musisz nadać pozycji unikalną nazwę!","Egyedi nevet kell adnod a pozíciónak!","Devi dare alla posizione un nome univoco!","¡Debes dar a la posición un nombre único!","Vous devez donner un nom unique à la position!","您必須替該位置命名為唯一名稱!","位置に一意の名前を付ける必要があります!","Você deve dar um nome exclusivo à posição!","您必须给当前坐标命名一个不重复的坐标名字！",
"VSTR_TOOLTIP_WEATHER_MNU","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.<br/>Tick the box `Use Current Time` to save time directly from the world (current time","This feature allows you to save presets of current world time OR the time data that you have typed in the 'World Time' section of the menu.<br/>Tick the box `Use Current Time` to save time directly from the world (current time","Tato funkce umožňuje ukládat presety aktuálního světového času NEBO časových údajů","Diese Funktion ermöglicht das Speichern von Presets der aktuellen Weltzeit ODER der Zeitdaten, die du im Abschnitt ‚World Time‘ eingegeben hast.<br/>Aktiviere ‚Use Current Time‘, um die Zeit direkt aus der Welt zu speichern (aktuelle Zeit","Эта функция позволяет сохранять пресеты текущего мирового времени ИЛИ времени, введённого в разделе «World Time».<br/>Отметьте «Use Current Time», чтобы сохранить время напрямую из мира (текущее время","Ta funkcja umożliwia zapisywanie presetów bieżącego czasu świata LUB danych czasu wpisanych w sekcji „World Time”.<br/>Zaznacz „Use Current Time”, aby zapisać czas bezpośrednio ze świata (bieżący czas","Ez a funkció lehetővé teszi a jelenlegi világidő VAGY az általad a „World Time” szekcióban megadott időadatok mentését presetként.<br/>Pipáld be a „Use Current Time” mezőt az idő közvetlen mentéséhez a világból (aktuális idő","Questa funzione consente di salvare preset dell'ora del mondo corrente OPPURE dei dati temporali digitati nella sezione 'World Time' del menu.<br/>Spunta la casella 'Use Current Time' per salvare l'ora direttamente dal mondo (ora corrente","Esta función permite guardar presets de la hora del mundo actual O de los datos de tiempo que escribiste en la sección 'World Time' del menú.<br/>Marca 'Use Current Time' para guardar la hora directamente del mundo (hora actual","Cette fonction permet d'enregistrer des presets de l'heure du monde actuelle OU des données d'heure saisies dans la section «World Time» du menu. Cochez «Use Current Time» pour enregistrer l'heure directement depuis le monde (heure actuelle","此功能可將目前世界時間或您在選單「World Time」輸入的時間資料儲存為預設。<br/>勾選「Use Current Time」可直接自世界儲存時間（目前時間","この機能では、現在のワールド時間、またはメニューの『World Time』セクションで入力した時間データをプリセットとして保存できます。<br/>『Use Current Time』にチェックすると世界から直接（現在時刻を）保存します","Este recurso permite salvar presets do horário atual do mundo OU dos dados de tempo que você digitou na seção 'World Time' do menu.<br/>Marque 'Use Current Time' para salvar o horário diretamente do mundo (horário atual","此功能允许您保存当前世界时间预设值，或者保存您在菜单“世界时间”部分输入的时间数据。<br/>勾选“使用当前时间”复选框，即可直接从世界时间（当前时间）保存时间。",
"VSTR_TOOLTIP_WEATHER_PRST","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!<br/>Opening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","This feature allows you to save weather presets that you can apply when you wish to. Duplicate names are not allowed!<br/>Opening and closing this menu will refresh the presets list if other admins made any new presets while you had it open.","Tato funkce umožňuje ukládat presety počasí","Diese Funktion ermöglicht das Speichern von Wetter-Presets, die du nach Wunsch anwenden kannst. Doppelte Namen sind nicht erlaubt!<br/>Beim Öffnen und Schließen dieses Menüs wird die Presetliste aktualisiert, falls andere Admins neue Presets erstellt haben, während du es offen hattest.","Эта функция позволяет сохранять пресеты погоды и применять их при необходимости. Дублирующиеся имена запрещены!<br/>Открытие/закрытие этого меню обновит список пресетов, если другие админы создали новые, пока у вас было открыто.","Ta funkcja pozwala zapisywać presety pogody, które możesz stosować kiedy chcesz. Zduplikowane nazwy są niedozwolone!<br/>Otwarcie i zamknięcie tego menu odświeży listę presetów, jeśli inni admini utworzyli nowe, gdy miałeś je otwarte.","Ez a funkció lehetővé teszi időjárás presetek mentését, amelyeket tetszés szerint alkalmazhatsz. Duplikált nevek nem engedélyezettek!<br/>A menü megnyitása és bezárása frissíti a presetlistát, ha más adminok közben új presetet hoztak létre.","Questa funzione consente di salvare preset meteo che puoi applicare quando vuoi. I nomi duplicati non sono consentiti!<br/>L'apertura e la chiusura di questo menu aggiornerà l'elenco dei preset se altri admin hanno creato nuovi preset mentre lo avevi aperto.","Esta función permite guardar presets del clima que puedes aplicar cuando quieras. ¡Los nombres duplicados no están permitidos!<br/>Abrir y cerrar este menú actualizará la lista de presets si otros admins crearon nuevos presets mientras lo tenías abierto.","Cette fonction permet d'enregistrer des presets météo que vous pouvez appliquer à volonté. Les noms en double ne sont pas autorisés! L'ouverture et la fermeture de ce menu actualiseront la liste des presets si d'autres admins en ont créé de nouveaux pendant que vous l'aviez ouvert.","此功能可儲存天氣預設，隨時套用。名稱不得重複!<br/>開啟/關閉此選單會重新整理預設清單；若其他管理員在此期間建立新預設，也會顯示出來。","この機能では、必要に応じて適用できる天気プリセットを保存できます。重複名は使用できません!<br/>このメニューを開閉すると、他の管理者が開いている間に作成した新しいプリセットも含め、プリセット一覧が更新されます。","Este recurso permite salvar presets de clima que você pode aplicar quando quiser. Nomes duplicados não são permitidos!<br/>Abrir e fechar este menu atualizará a lista de presets se outros admins criarem novos presets enquanto você o mantinha aberto.","此功能允许您保存天气预设，以便随时应用。不允许重复命名！<br/>如果您打开此菜单时其他管理员创建了新的预设，则打开并关闭此菜单将刷新预设列表。",
"VSTR_TOOLTIP_SELECT_PRST_WEATHER","Please select a weather preset to delete.","Please select a weather preset to delete.","Vyberte preset počasí ke smazání.","Bitte wähle ein Wetter-Preset zum Löschen aus.","Выберите пресет погоды для удаления.","Wybierz preset pogody do usunięcia.","Kérlek válassz törlendő időjárás presetet.","Seleziona un preset meteo da eliminare.","Selecciona un preset de clima para eliminar.","Sélectionnez un preset météo à supprimer.","請選取要刪除的天氣預設。","削除する天気プリセットを選択してください。","Selecione um preset de clima para excluir.","请选择要删除的天气预设。",
"VSTR_NOTIFY_ERR_WEATHERSETTING","Weather Setting doesn't exist.","Weather Setting doesn't exist.","Nastavení počasí neexistuje.","Wetter-Einstellung existiert nicht.","Настройка погоды не существует.","Ustawienie pogody nie istnieje.","Időjárás beállítás nem létezik.","L'impostazione meteo non esiste.","La configuración de clima no existe.","Le paramètre météo n'existe pas.","天氣設定不存在。","天気設定が存在しません。","A configuração de clima não existe.","天气设置不存在",
"VSTR_NOTIFY_DEL_WEATHER_PRST","Deleting Weather Preset","Deleting Weather Preset","Mažu preset počasí","Wetter-Preset wird gelöscht","Удаление пресета погоды","Usuwanie presetu pogody","Időjárás preset törlése","Eliminazione preset meteo","Eliminando preset de clima","Suppression du preset météo","正在刪除天氣預設","天気プリセットを削除しています","Excluindo preset de clima","天气预设名称不正确",
"VSTR_NOTIFY_INCRR_PRESET","Incorrect Weather Preset Name","Incorrect Weather Preset Name","Nesprávný název presetu počasí","Falscher Wetter-Preset-Name","Неверное имя пресета погоды","Nieprawidłowa nazwa presetu pogody","Hibás időjárás presetnév","Nome preset meteo errato","Nombre de preset de clima incorrecto","Nom de preset météo incorrect","天氣預設名稱不正確","天気プリセット名が正しくありません","Nome de preset de clima incorreto","错误的预设天气名称",
"VSTR_NOTIFY_NAME_INUSE","Name is already in use.","Name is already in use.","Název je již používán.","Name wird bereits verwendet.","Имя уже используется.","Nazwa jest już używana.","A név már használatban van.","Nome già in uso.","El nombre ya está en uso.","Le nom est déjà utilisé.","名稱已被使用。","名前は既に使用されています。","O nome já está em uso.","该名称已被使用",
"VSTR_NOTIFY_ERR_INVALID_WEATHERDATA","Invalid Weather Data","Invalid Weather Data","Neplatná data počasí","Ungültige Wetterdaten","Недопустимые данные погоды","Nieprawidłowe dane pogody","Érvénytelen időjárás adatok","Dati meteo non validi","Datos de clima no válidos","Données météo invalides","無效的天氣資料","無効な天気データ","Dados de clima inválidos","无效天气数据",
"VSTR_NOTIFY_SAVING_WEATHER","Saving Weather Preset","Saving Weather Preset","Ukládám preset počasí","Wetter-Preset wird gespeichert","Сохранение пресета погоды","Zapisywanie presetu pogody","Időjárás preset mentése","Salvataggio preset meteo","Guardando preset de clima","Enregistrement du preset météo","正在儲存天氣預設","天気プリセットを保存しています","Salvando preset de clima","保存天气预设",
"VSTR_NOTIFY_ERR_WEATHER_SELECT_PRST","Please select a weather preset.","Please select a weather preset.","Vyberte preset počasí.","Bitte wähle ein Wetter-Preset aus.","Пожалуйста, выберите пресет погоды.","Wybierz preset pogody.","Kérlek válassz egy időjárás presetet.","Seleziona un preset meteo.","Selecciona un preset de clima.","Sélectionnez un preset météo.","請選取天氣預設。","天気プリセットを選択してください。","Selecione um preset de clima.","请选择天气预设模式",
"VSTR_NOTIFY_APPLY_WEATHERPREST","Applying Weather Preset","Applying Weather Preset","Aplikuji preset počasí","Wetter-Preset wird angewendet","Применение пресета погоды","Zastosowanie presetu pogody","Időjárás preset alkalmazása","Applicazione preset meteo","Aplicando preset de clima","Application du preset météo","正在套用天氣預設","天気プリセットを適用しています","Aplicando preset de clima","应用天气预设",
"VSTR_NOTIFY_SELECT_PRST_WEATHER_DEL","Please select a time preset to delete.","Please select a time preset to delete.","Vyberte časový preset ke smazání.","Bitte wähle ein Zeit-Preset zum Löschen aus.","Выберите пресет времени для удаления.","Wybierz preset czasu do usunięcia.","Kérlek válassz törlendő idő presetet.","Seleziona un preset orario da eliminare.","Selecciona un preset de tiempo para eliminar.","Sélectionnez un preset horaire à supprimer.","請選取要刪除的時間預設。","削除する時間プリセットを選択してください。","Selecione um preset de horário para excluir.","请选择要删除的时间预设",
"VSTR_NOTIFY_ERR_TIME_PRST","Time Preset doesn't exist.","Time Preset doesn't exist.","Časový preset neexistuje.","Zeit-Preset existiert nicht.","Пресет времени не существует.","Preset czasu nie istnieje.","Idő preset nem létezik.","Preset orario inesistente.","El preset de tiempo no existe.","Le preset horaire n'existe pas.","時間預設不存在。","時間プリセットが存在しません。","O preset de horário não existe.","时间预设不存在",
"VSTR_NOTIFY_REMOVE_DATE_PRST","Removing Date Preset","Removing Date Preset","Odstraňuji datový preset","Datums-Preset wird entfernt","Удаление пресета даты","Usuwanie presetu daty","Dátum preset eltávolítása","Rimozione preset data","Eliminando preset de fecha","Suppression du preset de date","正在移除日期預設","日付プリセットを削除しています","Removendo preset de data","移除日期预设",
"VSTR_NOTIFY_ERR_MISSING_DATE","Missing Date information.","Missing Date information.","Chybí informace o datu.","Fehlende Datumsinformationen.","Отсутствуют сведения о дате.","Brak informacji o dacie.","Hiányzó dátum információ.","Informazioni sulla data mancanti.","Falta información de fecha.","Informations de date manquantes.","缺少日期資訊。","日付情報が不足しています。","Informações de data ausentes.","缺少日期信息",
"VSTR_NOTIFY_ERR_DUPE_TIME_PRST","Duplicate Time Presets","Duplicate Time Presets","Duplicitní časové presety","Doppelte Zeit-Presets","Дубликаты пресетов времени","Zduplikowane presety czasu","Duplikált idő presetek","Preset orari duplicati","Presets de tiempo duplicados","Presets horaires dupliqués","重複的時間預設","時間プリセットが重複しています","Presets de horário duplicados","重复时间预设",
"VSTR_NOTIFY_SAVE_PRST_DATE","Saving Date Preset","Saving Date Preset","Ukládám datový preset","Datums-Preset wird gespeichert","Сохранение пресета даты","Zapisywanie presetu daty","Dátum preset mentése","Salvataggio preset data","Guardando preset de fecha","Enregistrement du preset de date","正在儲存日期預設","日付プリセットを保存しています","Salvando preset de data","保存日期预设",
"VSTR_NOTIFY_ERR_DATE_MISSING","Missing Date information.","Missing Date information.","Chybí informace o datu.","Fehlende Datumsinformationen.","Отсутствуют сведения о дате.","Brak informacji o dacie.","Hiányzó dátum információ.","Informazioni sulla data mancanti.","Falta información de fecha.","Informations de date manquantes.","缺少日期資訊。","日付情報が不足しています。","Informações de data ausentes.","缺少日期信息",
"VSTR_NOTIFY_WTH_APPLYING","Applying...Please Wait","Applying...Please Wait","Aplikuji... Prosím čekejte","Wird angewendet... Bitte warten","Применение... Пожалуйста, подождите","Zastosowywanie... Proszę czekać","Alkalmazás... Kérlek várj","Applicazione... Attendere prego","Aplicando... Por favor espera","Application... Veuillez patienter","正在套用... 請稍候","適用中… しばらくお待ちください","Aplicando... Aguarde","正在应用，请稍候！",
"VSTR_NOTIFY_SELECT_TIME_PRST","Please select a time preset.","Please select a time preset.","Vyberte časový preset.","Bitte wähle ein Zeit-Preset aus.","Пожалуйста, выберите пресет времени.","Wybierz preset czasu.","Kérlek válassz egy idő presetet.","Seleziona un preset orario.","Selecciona un preset de tiempo.","Sélectionnez un preset horaire.","請選取時間預設。","時間プリセットを選択してください。","Selecione um preset de horário.","请选择一个预设时间",
"VSTR_NOTIFY_APPLY_TIME_PRST","Applying Time Preset...Please wait.","Applying Time Preset...Please wait.","Aplikuji časový preset... Prosím čekejte.","Zeit-Preset wird angewendet... Bitte warten.","Применение пресета времени... Пожалуйста, подождите.","Zastosowanie presetu czasu... Proszę czekać.","Idő preset alkalmazása... Kérlek várj.","Applicazione preset orario... Attendere prego.","Aplicando preset de tiempo... Por favor espera.","Application du preset horaire... Veuillez patienter.","正在套用時間預設... 請稍候。","時間プリセットを適用中… しばらくお待ちください。","Aplicando preset de horário... Aguarde.","应用时间预设，请稍候！",
"VSTR_NOTIFY_UPDATED_TIME_PRST","Time Preset...Updated","Time Preset...Updated","Časový preset... aktualizován","Zeit-Preset... aktualisiert","Пресет времени... обновлён","Preset czasu... zaktualizowany","Idő preset... frissítve","Preset orario... aggiornato","Preset de tiempo... actualizado","Preset horaire... mis à jour","時間預設，已更新","時間プリセット… 更新しました","Preset de horário... atualizado","时间预设，已更新！",
"VSTR_TOOLTIP_TITLE_SAVE_CHANGE","Save Changes?","Save Changes?","Uložit změny?","Änderungen speichern?","Сохранить изменения?","Zapisać zmiany?","Változtatások mentése?","Salvare le modifiche?","¿Guardar cambios?","Enregistrer les modifications?","要儲存變更嗎?","変更を保存しますか?","Salvar alterações?","保存更改?",
"VSTR_TOOLTIP_SAVE_CHANGE","Are you sure you wish to save changes?","Are you sure you wish to save changes?","Opravdu chcete uložit změny?","Möchtest du die Änderungen wirklich speichern?","Вы уверены, что хотите сохранить изменения?","Czy na pewno chcesz zapisać zmiany?","Biztosan elmented a változtatásokat?","Sei sicuro di voler salvare le modifiche?","¿Seguro que quieres guardar los cambios?","Êtes-vous sûr de vouloir enregistrer les modifications?","確定要儲存變更?","本当に変更を保存しますか?","Tem certeza de que deseja salvar as alterações?","您确定要保存更改吗？",
"VSTR_NOTIFY_WBHOOKS_CONFG","Please Configure your webhook settings on the left then save!","Please Configure your webhook settings on the left then save!","Nakonfigurujte vlevo nastavení webhooku a poté uložte!","Bitte konfiguriere links deine WebHook-Einstellungen und speichere dann!","Настройте слева параметры WebHook и затем сохраните!","Skonfiguruj po lewej ustawienia WebHook, a następnie zapisz!","Kérlek konfiguráld bal oldalt a WebHook beállításaidat, majd ments!","Configura le impostazioni del WebHook a sinistra e poi salva!","¡Configura a la izquierda los ajustes del WebHook y luego guarda!","Configurez les paramètres du WebHook à gauche puis enregistrez!","請先在左側設定 WebHook，然後儲存!","左側で WebHook 設定を行ってから保存してください!","Configure as definições do WebHook à esquerda e depois salve!","请在左侧配置您的 webhook 设置，然后保存！",
